outcome,feature,feature_group,standardized_coef,abs_standardized_coef,permutation_importance,bivariate_correlation
school_mean_math,school_mean_escs,composition,34.275897961760194,34.275897961760194,0.7408789227794437,0.737541847961909
school_mean_math,student_math_selfefficacy_mean,student_attitudes,28.717679416921875,28.717679416921875,0.18145215660454445,0.5935399897883694
school_mean_math,student_math_reasoning_selfefficacy_mean,student_attitudes,-10.481871807822285,10.481871807822285,0.006564701701919806,0.15240725396183782
school_mean_math,student_skipping_mean,attendance,-10.076647459276986,10.076647459276986,0.05175367069669856,-0.3092081955780125
school_mean_math,student_career_info_mean,aspirations,-8.902213268545522,8.902213268545522,0.01185234870141758,-0.1747158067165875
school_mean_math,student_tardy_mean,attendance,-8.40692295137532,8.40692295137532,0.009723680403532043,-0.2411510365402909
school_mean_math,student_school_digital_internet_devices_mean,digital_access,6.737198621952698,6.737198621952698,0.002951834872335768,0.45946772174702993
school_mean_math,student_device_problem_mean,digital_access,-6.157314165874268,6.157314165874268,0.004880309470865085,-0.35857091268292784
school_mean_math,student_digital_efficacy_mean,digital,3.77281998631926,3.77281998631926,0.016575928357985204,0.4237303439621595
school_mean_math,student_ict_regulation_mean,digital,-3.752960863377696,3.752960863377696,0.018662148169874195,-0.32619533082892876
school_mean_math,student_school_internet_speed_mean,digital_access,-3.7329822377507895,3.7329822377507895,3.1818379867765146e-06,0.171881263062635
school_mean_math,RATCMP2,digital_access,3.1251819737268947,3.1251819737268947,7.809543118919571e-05,0.3589345037053385
school_mean_math,student_internet_problem_mean,digital_access,-3.0711416460827765,3.0711416460827765,0.001330102861011917,-0.2745598072741639
school_mean_math,SC201Q01JA,leadership,-2.533952477903976,2.533952477903976,0.0,-0.1301800604041944
school_mean_math,student_homework_mean,learning_time,-1.9708217395254235,1.9708217395254235,0.0033301110651779765,-0.2039598877859048
school_mean_math,STUBEHA,school_climate,-1.8526503570410386,1.8526503570410386,1.4862618253386194e-05,-0.18531186376075612
school_mean_math,student_expected_edu_mean,aspirations,1.7449593035462587,1.7449593035462587,0.0005536016109240372,0.11341870163806346
school_mean_math,OPENCUL,school_climate,-1.5926226562736472,1.5926226562736472,4.2184835804737196e-05,0.015583724205016504
school_mean_math,ABGMATH,grouping_tracking,-1.479663916508886,1.479663916508886,0.0,-0.0671212863980075
school_mean_math,TEACHBEHA,school_climate,1.4408038992904224,1.4408038992904224,3.280056076526705e-06,0.010742190500886454
school_mean_math,student_belong_mean,student_attitudes,-1.3309340225409003,1.3309340225409003,0.005334260200070817,0.2954517367472546
school_mean_math,SC017Q10JA,digital_access,-1.2763425859092485,1.2763425859092485,9.733018609225929e-06,-0.3328682723514976
school_mean_math,SC017Q09JA,digital_access,-1.113508020737001,1.113508020737001,3.3333987917116834e-05,-0.3513012481852631
school_mean_math,SC201Q06JA,leadership,-1.0129533524810876,1.0129533524810876,3.2673783003200894e-06,-0.14741182007502407
school_mean_math,student_subject_ict_use_mean,digital,0.9293100582310695,0.9293100582310695,1.978686647865491e-05,0.12535692326148956
school_mean_math,EDUSHORT,school_resources,-0.7968514832843088,0.7968514832843088,7.187198415783413e-05,-0.30099167765376494
school_mean_math,student_math_motivation_mean,student_attitudes,0.776165017363001,0.776165017363001,6.360369377220732e-05,-0.02305185475683737
school_mean_math,STAFFSHORT,school_resources,0.7322940666746087,0.7322940666746087,1.056784209951811e-05,-0.10924483169953678
school_mean_math,SC201Q03JA,leadership,-0.6551807734517463,0.6551807734517463,0.0,-0.1201012598080038
school_mean_math,SC061Q05TA,school_climate,0.6012136294439709,0.6012136294439709,0.0,-0.04129696660881329
school_mean_math,PROPSUPP,support_staff,-0.5898139753388788,0.5898139753388788,0.0,0.17060422474832818
school_mean_math,NEGSCLIM,school_climate,0.5617185014331298,0.5617185014331298,0.0,-0.027936231373967214
school_mean_math,RATCMP1,digital_access,0.4392649785310082,0.4392649785310082,0.0002407077874974961,0.14477491802308762
school_mean_math,student_math_anxiety_mean,student_attitudes,-0.2444230956194609,0.2444230956194609,8.025314767439174e-05,-0.3273565685510711
school_mean_math,SC201Q04JA,leadership,-0.1932162286045826,0.1932162286045826,0.0,-0.128274079142536
school_mean_math,student_school_digital_resources_mean,digital_access,0.0,0.0,0.005935791546844871,0.44799482657481426
school_mean_math,SCHAUTO,school_governance,-0.0,0.0,4.125119836775326e-05,0.26351532756473006
school_mean_math,SC201Q05JA,leadership,-0.0,0.0,0.0,-0.15708610518880034
school_risk_score,student_homework_mean,learning_time,-2.529347060676919,2.529347060676919,0.1243419911562554,-0.34523151558546156
school_risk_score,student_math_reasoning_selfefficacy_mean,student_attitudes,-1.8916401425930949,1.8916401425930949,0.0001333492004511827,-0.19082548507840139
school_risk_score,school_mean_escs,composition,1.682338621131422,1.682338621131422,0.003130627195840607,0.23384318150261596
school_risk_score,student_skipping_mean,attendance,-1.6049778107937032,1.6049778107937032,0.08729686552116886,-0.22413927117075816
school_risk_score,student_ict_regulation_mean,digital,-1.5218014022906285,1.5218014022906285,0.4488468237902544,-0.2949177899803167
school_risk_score,student_career_info_mean,aspirations,-1.389229770085103,1.389229770085103,0.005777403406232495,-0.17240886391724347
school_risk_score,student_expected_edu_mean,aspirations,-1.3507468439991828,1.3507468439991828,0.0017810000840664086,-0.21566033825548944
school_risk_score,RATCMP2,digital_access,1.219111909366985,1.219111909366985,0.011013654052050903,0.2639663920686619
school_risk_score,SC201Q03JA,leadership,-1.1700769349644249,1.1700769349644249,0.007729128155300224,-0.2195709405383092
school_risk_score,student_device_problem_mean,digital_access,-1.047716064804039,1.047716064804039,0.0011431344381477304,-0.22412152832333276
school_risk_score,student_math_anxiety_mean,student_attitudes,-0.9633041550901612,0.9633041550901612,0.011898611177426032,-0.15515872592249322
school_risk_score,OPENCUL,school_climate,-0.9125006886791582,0.9125006886791582,0.003209230761638171,-0.16061473228666132
school_risk_score,student_internet_problem_mean,digital_access,-0.8266573193808177,0.8266573193808177,0.025833482636333182,-0.2083224558574
school_risk_score,NEGSCLIM,school_climate,0.6790089892709597,0.6790089892709597,0.003044682458788195,0.136595267551319
school_risk_score,SC201Q06JA,leadership,-0.6585063959745981,0.6585063959745981,0.014764652516846489,-0.20439546883359297
school_risk_score,ABGMATH,grouping_tracking,-0.639656750067111,0.639656750067111,0.00011007904679105618,-0.12151202859711942
school_risk_score,STUBEHA,school_climate,0.5129876728936652,0.5129876728936652,0.001994457961502083,0.07658304169702303
school_risk_score,student_belong_mean,student_attitudes,0.5099519900937298,0.5099519900937298,0.014663906348423872,0.10529310231689284
school_risk_score,student_math_selfefficacy_mean,student_attitudes,0.5057259334266185,0.5057259334266185,0.0027382934671180913,0.06994100385724349
school_risk_score,student_school_digital_resources_mean,digital_access,0.4642908838802925,0.4642908838802925,0.0010646068195465652,0.1826466383208506
school_risk_score,SC017Q09JA,digital_access,-0.4539638488181671,0.4539638488181671,3.9804152799272076e-05,-0.17512802420847873
school_risk_score,student_school_digital_internet_devices_mean,digital_access,0.43054556178130493,0.43054556178130493,0.00394870033979462,0.20393080376113792
school_risk_score,student_math_motivation_mean,student_attitudes,0.41381335274448683,0.41381335274448683,4.924382190818477e-06,0.03153916807335528
school_risk_score,student_school_internet_speed_mean,digital_access,0.3671602329195076,0.3671602329195076,0.00023721288457991818,0.0928553622266826
school_risk_score,SC201Q04JA,leadership,-0.350402329378496,0.350402329378496,9.12753381496767e-06,-0.18723632825214484
school_risk_score,PROPSUPP,support_staff,-0.34317051788759234,0.34317051788759234,0.02503309801613953,0.04529197057744319
school_risk_score,student_subject_ict_use_mean,digital,-0.3269999409185765,0.3269999409185765,0.0028251252424066563,-0.09290037914683782
school_risk_score,SC201Q05JA,leadership,-0.29169122999026226,0.29169122999026226,0.0,-0.20072046035314958
school_risk_score,SC201Q01JA,leadership,-0.26030702902152075,0.26030702902152075,0.0,-0.07725191243786764
school_risk_score,RATCMP1,digital_access,0.2529386037254902,0.2529386037254902,0.0005802978006268722,0.09530163297899068
school_risk_score,SCHAUTO,school_governance,0.21784001483871843,0.21784001483871843,0.030778738483026348,0.1347491590256576
school_risk_score,SC017Q10JA,digital_access,-0.15699473099795314,0.15699473099795314,0.0,-0.143924313902815
school_risk_score,EDUSHORT,school_resources,-0.14744112831504036,0.14744112831504036,8.193323207377201e-05,-0.11723217422279653
school_risk_score,student_tardy_mean,attendance,0.12876701946549465,0.12876701946549465,0.00024575180014181354,-0.01034169754251327
school_risk_score,TEACHBEHA,school_climate,-0.12816463412070533,0.12816463412070533,0.00034317662525742423,0.03168903302464724
school_risk_score,student_digital_efficacy_mean,digital,-0.059112329583758665,0.059112329583758665,3.48991298412038e-05,0.04829663610825286
school_risk_score,SC061Q05TA,school_climate,-0.022281522036201314,0.022281522036201314,4.366937112476599e-06,0.041904439513942134
school_risk_score,STAFFSHORT,school_resources,0.0,0.0,0.008385506949345367,-0.009763709229620379
within_school_gap,school_mean_escs,composition,6.345226616682834,6.345226616682834,0.1529386492889533,0.25280773533643824
within_school_gap,student_homework_mean,learning_time,-3.1287670865855755,3.1287670865855755,0.0247255760184923,-0.1856002457035529
within_school_gap,student_belong_mean,student_attitudes,2.695583106991679,2.695583106991679,0.013066511412980032,0.1535776893481265
within_school_gap,SCHAUTO,school_governance,-2.320197112470114,2.320197112470114,0.005574444702399007,0.016784376656029516
within_school_gap,PROPSUPP,support_staff,1.9400346918227582,1.9400346918227582,0.0027914100505358696,0.13940563338975623
within_school_gap,SC201Q01JA,leadership,1.819976452508658,1.819976452508658,0.00012204539191777997,0.03075651568770464
within_school_gap,NEGSCLIM,school_climate,1.7219016507103806,1.7219016507103806,0.006245467022388973,0.0792522235648911
within_school_gap,student_digital_efficacy_mean,digital,1.7042712045712578,1.7042712045712578,0.0014495337658913198,0.1547289285787988
within_school_gap,student_math_selfefficacy_mean,student_attitudes,1.548586276027987,1.548586276027987,0.01755104347605805,0.1482748333489968
within_school_gap,SC201Q03JA,leadership,-1.519314988863457,1.519314988863457,0.00035323616335365405,-0.07450013094614394
within_school_gap,ABGMATH,grouping_tracking,1.481949824326112,1.481949824326112,5.002028909688594e-05,0.02602481485635945
within_school_gap,student_expected_edu_mean,aspirations,-1.421918238282267,1.421918238282267,0.04567539437135635,-0.051650624945982486
within_school_gap,STAFFSHORT,school_resources,1.3975934418738436,1.3975934418738436,0.0013193680436654586,0.02008650470939028
within_school_gap,EDUSHORT,school_resources,-1.3952176294078167,1.3952176294078167,0.00046040951796428865,-0.09818825682133897
within_school_gap,STUBEHA,school_climate,1.3093071757274939,1.3093071757274939,0.00418744092424006,0.03617046352127572
within_school_gap,OPENCUL,school_climate,-1.1891333971510223,1.1891333971510223,0.00033452401709666013,-0.03666138010166194
within_school_gap,student_internet_problem_mean,digital_access,-0.9596649290543654,0.9596649290543654,0.0008385101525802297,-0.13666602032256317
within_school_gap,student_device_problem_mean,digital_access,-0.9046936127418103,0.9046936127418103,0.002285189867324444,-0.14088464047266927
within_school_gap,SC201Q04JA,leadership,0.8854806899940838,0.8854806899940838,5.835217816871907e-05,-0.03188655609298151
within_school_gap,student_subject_ict_use_mean,digital,0.8708122481165408,0.8708122481165408,0.002800221821552551,0.07570525809804089
within_school_gap,TEACHBEHA,school_climate,-0.8447471468263623,0.8447471468263623,0.00043641830116409875,0.027523947870755273
within_school_gap,student_school_internet_speed_mean,digital_access,-0.8312090903011176,0.8312090903011176,0.0004948280039899888,0.043199869168726646
within_school_gap,SC201Q06JA,leadership,-0.8290677742662753,0.8290677742662753,7.963382715363565e-05,-0.07115271724686756
within_school_gap,student_math_motivation_mean,student_attitudes,-0.6761059824178436,0.6761059824178436,0.00022696199248612993,-0.03336413446392628
within_school_gap,student_math_reasoning_selfefficacy_mean,student_attitudes,-0.6739846927641195,0.6739846927641195,0.0020701621536985517,0.03946998015004303
within_school_gap,student_ict_regulation_mean,digital,0.6324474796533681,0.6324474796533681,0.001914899444050344,-0.08782541776169067
within_school_gap,RATCMP2,digital_access,0.6286388517992855,0.6286388517992855,3.935466611371119e-05,0.11814092867500904
within_school_gap,student_career_info_mean,aspirations,-0.6255177075545841,0.6255177075545841,0.00686550011554572,-0.045020140273013425
within_school_gap,student_skipping_mean,attendance,-0.6090112931526447,0.6090112931526447,0.00338269837705496,-0.04841321420425006
within_school_gap,SC201Q05JA,leadership,-0.5526757019654295,0.5526757019654295,1.7215782550761283e-05,-0.07038655971654642
within_school_gap,student_school_digital_internet_devices_mean,digital_access,0.2892466577227642,0.2892466577227642,0.00018601819505894567,0.1367941545436714
within_school_gap,student_tardy_mean,attendance,0.24246986485095026,0.24246986485095026,0.0007169009975999341,-0.01010595269991935
within_school_gap,SC017Q10JA,digital_access,0.23415410820641416,0.23415410820641416,2.9787818434479085e-05,-0.09723788364464997
within_school_gap,student_school_digital_resources_mean,digital_access,-0.21945975250975103,0.21945975250975103,0.0004930347440883053,0.12702371988181907
within_school_gap,SC017Q09JA,digital_access,-0.15746726318374865,0.15746726318374865,1.67940206794448e-05,-0.11084363456822278
within_school_gap,student_math_anxiety_mean,student_attitudes,0.05915434283158068,0.05915434283158068,0.0016485490276284987,-0.11123956353611567
within_school_gap,RATCMP1,digital_access,-0.04748344290273181,0.04748344290273181,0.0003417689639323207,0.062842635507161
within_school_gap,SC061Q05TA,school_climate,-0.012896201469713858,0.012896201469713858,0.00018383597076252479,0.0314456386921135
